,C,CH,CH2,CH3,C-ring,CH-ring,CH2-ring,C=C,C#C,Ar,OH,C-O-C,CHO,CO,COOR,M,COOH,measured_st,molecule,density
134,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,76.095,0.0,20.7,Dimethoxymethane,0.8593
135,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,90.12199999999999,0.0,21.0,"1,1-Dimethoxyethane",0.85015
136,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,104.14899999999999,0.0,20.2,Diethoxymethane,0.8318
137,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,118.17599999999999,0.0,20.9,"1,1-Diethoxyethane",0.8254
138,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,174.28399999999996,0.0,24.0,"1,1-Dibutoxyethane",0.8296
139,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,132.159,0.0,25.6,Paraldehyde,0.9923
140,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,148.202,0.0,23.1,Ethyl orthoformate,0.8909
141,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,162.22899999999998,0.0,26.8,Diethylene glycol diethyl ether,0.907
142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,108.13999999999997,0.0,34.5,Anisole,0.9956
143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,122.16699999999996,0.0,32.4,Phenetole,0.9670000000000001
144,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,122.16699999999997,0.0,33.5,p-Methylanisole,0.9690000000000001
145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,134.17799999999997,0.0,33.3,Allyl phenyl ether,0.98
146,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,136.19399999999996,0.0,31.6,Phenyl propyl ether,0.9474
147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.053,0.0,20.6,Acetaldehyde,0.79
148,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.107,0.0,24.2,n-Butyraldehyde,0.8016
